,url,status,title,email,phone,address,copyright,norm_title,scraped_index,company_index,score,address1,city,postal_code,country,founding_date,name,company_number,phone_number,unique_id,norm_name
0,https://beeldenbouwers.nl,200,Domain Default page,,,,,domain default page,0,3367,65,Veerdam 3,Kortgene,4484NV,NL,2009-01-01,Delta Marina B.V.,22024254,+31113307171,516268062,delta marina
1,https://gjgmedia.nl,200,Saus Media,,,,,saus media,1,4797,73,Spinding 5,Cuijk,5431SN,NL,2012-01-01,Sure Medical B.V.,54785987,+31485330388,601569922,sure medical
2,https://henkvdzanden.nl,200,Praktijk Henk van der Zanden | Zelfontwikkeling | Coaching | cursus,mailto:info@henkvdzanden.nl,,,© Henk van der Zanden |,praktijk henk der zanden zelfontwikkeling coaching cursus,2,7843,59,Korenbloemstraat 37,Bakel,5761EK,NL,2004-01-01,Praktijk Henk van der Zanden,17170932,+31492340430,524178421,praktijk henk der zanden
6,https://podotherapierotterdam.nl,200,Home - Podotherapie Rotterdam,,,,,home podotherapie rotterdam,6,7857,90,Blondeelstraat 15,Rotterdam,3067VA,NL,2023-01-01,Podotherapie Rotterdam B.V.,89610997,+31104557755,605740923,podotherapie rotterdam
7,https://www.issos.nl/,200,ISSOS,mailto:info@issos.nl?subject=Algemene%20vraag,tel:+310297343000,Molenvlietweg 18,,issos,7,5199,100,Molenvlietweg 18,Aalsmeer,1432GW,NL,2018-01-01,Issos B.V.,30208230,+31297343000,497161776,issos
8,https://commavastgoed.nl,200,Makelaar Amersfoort - Comma Vastgoed,mailto:info@commavastgoed.nl,tel:033 445 07 05,routebeschrijving,,makelaar amersfoort comma vastgoed,8,1215,66,Amelisweerd 77,Amersfoort,3813XE,NL,2021-01-01,Stichting Voor Elkaar Amersfoort,81581173,,604814269,stichting elkaar amersfoort
9,https://www.sjerpstuinen.nl/,200,[None],mailto:info@sjerpstuinen.nl,tel:0229563180,,,none,9,5981,80,17 Boulevard Haussmann,Paris,75009,FR,1955-01-01,Danone,552032534,+33144352020,386353745,danone
13,https://extrabouwen.nl,200,EXTRA Bouwen - bouwbedrijf Enschede,mailto:info@extrabouwen.nl,tel:0534304304,Route,© EXTRA Bouwen B.V. | Bouw,extra bouwen bouwbedrijf enschede,13,1434,64,Staverdenseweg 51,Elspeet,8075AP,NL,2023-01-01,Bouwbedrijf Mulder Elspeet B.V.,08060633,+31577491703,529127032,bouwbedrijf mulder elspeet
14,https://thebabyconceptstore.nl,200,Bij The Baby Conceptstore maken wij zwangerschapsbeeldjes.,mailto:info@thebabyconceptstore.nl,tel:0031-6-58760638,"Trambaan 125a 1733 AX, Nieuwe Niedorp",© 2024,the baby conceptstore maken zwangerschapsbeeldjes,14,9188,60,De Molen 7,Nieuwe Niedorp,1733LC,NL,2021-01-01,The Baby Conceptstore,83539689,,605036629,the baby conceptstore
15,https://easytimes.amsterdam,200,Easy Times Amsterdam,,,,,easy times amsterdam,15,9508,70,Vijzelstraat 27,Amsterdam,1017HD,NL,2017-01-01,R.N.R. Basics Amsterdam B.V.,33203943,+31205289961,522989568,rnr basics amsterdam
16,https://popescu-advocaten.nl,200,Popescu Advocaten – Advocatenkantoor Amsterdam,mailto:popescu@popescu-advocaten.nl,tel:+31208114266,,,popescu advocaten advocatenkantoor amsterdam,16,8597,64,Gildelaan 1 B,Zevenbergen,4761BA,NL,2006-01-01,Advocatenkantoor Stoffels,55331203,+31168335037,601638544,advocatenkantoor stoffels
17,https://banekearchitecten.nl,200,baneke architekten,,,,,baneke architekten,17,5435,100,Waldeck Pyrmontlaan 2 Boven,Amsterdam,1075BV,NL,2018-01-01,Baneke Architekten B.V.,33237794,+31206798584,527203975,baneke architekten
18,https://www.marcusantonius.nl/,200,Marcus Antonius - Alles zelfgemaakt & verbonden met ons dorp,,tel:0487595110,,© Copyright 2024 - Realisatie,marcus antonius alles zelfgemaakt verbonden dorp,18,3252,48,Van Heemstraweg 42 03,Beneden Leeuwen,6658KH,NL,2022-01-01,Marcus Antonius B.V.,88417123,+31487595110,605586024,marcus antonius
20,https://ha-europe.com,200,Heritage Auctions Europe | Auctions & Appraisals,mailto:?ha-europe.com,tel:+31306063944,,© 2024 Heritage Auctions Europe | All rights reserved |,heritage auctions europe auctions appraisals,20,9731,68,Energieweg 7,IJsselstein UT,3401MD,NL,2015-01-01,Heritage Auctions - Europe Coöperatief U.A.,63746999,+31306063944,602836311,heritage auctions europe coöperatief ua
21,https://vanhoutkoeriersdienst.nl,200,Home - van Hout Koeriersdienst,mailto:info@vanhoutkoeriersdienst.nl,,,© van Hout Koeriersdienst 2016 |,home hout koeriersdienst,21,4464,88,Hagelkruisbaan 7,Ospel,6035PW,NL,1985-01-01,Van Hout Koeriersdienst,17056254,+31402447326,521144611,hout koeriersdienst
22,https://edpellens.nl/,200,Ed Pellens Hout & Bouw,mailto:%20info@edpellens.nl,tel:+31615032427,,Copyright © 2024 Ed Pellens Hout & Bouw,ed pellens hout bouw,22,9207,65,Benedenkerkseweg 122,Stolwijk,2821LG,NL,2023-01-01,Bouwbedrijf Schouten B.V.,89822420,+31182350775,605769332,bouwbedrijf schouten
23,https://www.pvaconsulting.be/,200,PVA Consulting,,,,,pva consulting,23,4237,100,Linde 61,Londerzeel,1840,BE,2014-01-01,Pva Consulting,0507783914,+3252306375,481810964,pva consulting
24,https://blomfood.com,200,Home - Blom Food B.V.,,,,© 2024,home blom food,24,5982,78,Ovenberg 11,Milsbeek,6596DP,NL,2008-01-01,Blom Food B.V.,09120160,+31264423950,517305992,blom food
30,https://www.amsdiensten.nl/,200,AMS Diensten | Transport en Logistiek |,mailto:info@amsdiensten.nl,,,,ams diensten transport logistiek,30,1946,61,Houtsnipweg 11,Klundert,4791PC,NL,2023-01-01,Van Gameren Transport B.V.,24315270,+31850667075,516946257,gameren transport
