"address1","city","postal_code","country","founding_date","name","company_number","phone_number","unique_id"
"Synagogeplantsoen 64","Meerssen","6231KK","NL","2008-01-01","Eigen Kracht","14098137","+31433640535","0600121816"
"Nieuwkerk 2","Goirle","5051PN","NL","2013-01-01","Klooster Nieuwkerk Goirle B.V.","57677174","+31135302510","0602107256"
"'t Hambroek 16","Borculo","7271HA","NL","2001-01-01","Adfistro","08097700","+31545274166","0517367866"
"Venrayseweg 4","Wanssum","5861BD","NL","2008-01-01","Skymeubel V.O.F.","14104757","","0600288132"
"Van Eedenstraat 9","Haarlem","2012EL","NL","2021-01-01","Oass B.V.","81827660","+31235311077","0604825839"
"16300 Roscoe Blvd Ste 150","Van Nuys","91406","US","2008-01-01","Mga Inc","","+1818-894-2525","0939062863"
"Papenweg 8","Mheer","6261NE","NL","2020-01-01","Mind-In-Motion","76930491","","0604402007"
"Kerkstraat 2","Cadier en Keer","6267ED","NL","2013-01-01","Uitgeverij Kunst Adelt","56745494","","0601989527"
"Luxemburgstraat 3","Kaatsheuvel","5171PK","NL","1988-01-01","Filcoflex B.V.","17098810","+31416764764","0522894826"
"8931 Ellis Ave FL 3","Los Angeles","90034","US","2010-01-01","Skybound, Llc","","+1310-836-5100","0190685724"
"Willem Bilderdijkstraat 21","Harlingen","8862BW","NL","2021-01-01","Bouwvisie Friesland B.V.","82476780","+31517434633","0604905939"
"Joop van Weezelhof 7","Amsterdam","1063MK","NL","1986-01-01","Holland & Barrett B.V.","16829476","+31206144866","0516149604"
"Oldengaerden 18","Meppel","7944RV","NL","1997-01-01","Advies Verzekerd!","04053646","+31522441444","0498214264"
"Zomerplein 15","Puttershoek","3297SE","NL","2018-01-01","Zorgwaard B.V.","72903201","+31786763400","0603928541"
"Jonkheer de la Courtstr 22","Vlijmen","5251JE","NL","2015-01-01","Eggelen B.V.","64266249","+31735118884","0602892763"
"Varsselseweg 49","Hengelo Gld","7255NR","NL","2002-01-01","Enzerink B.V.","09099978","+31575467474","0513683070"
"Oranje Nassaulaan 22","Warmond","2361LG","NL","2021-01-01","Vereniging van Eigenaars Vrouwensteeg 12 te Leiden","85641405","","0605287795"
"Middelstraat 2","De Moer","5176NJ","NL","2022-01-01","Veja Vastgoed B.V.","85973998","","0605322045"
"Docterskampstraat 2 A","'s-Hertogenbosch","5222AM","NL","2003-01-01","PB Sound B.V.","18071633","+31416355010","0600157054"
"Rondweg 38","Wezep","8091XB","NL","2013-01-01","Dutch DJ Entertainment","57535442","+31382022662","0602091185"
"Schiedamsedijk 49","Rotterdam","3011ED","NL","2014-01-01","Eazy Hair Europe B.V.","18089265","+31735482233","0526226798"
"Spoorstraat 11","Baarn","3743EG","NL","2010-01-01","Svo Rail B.V.","32171161","+31358889790","0600921256"
"Henry Dunantweg 42","Alphen aan den Rijn","2402NR","NL","2016-01-01","Docspro B.V.","28082262","+31172419334","0515052296"
"Nervistraat 12","Zwolle","8013RS","NL","2002-01-01","Bootsma Technologies B.V.","08052322","+31384446422","0521221278"
"Hoofdweg 735","Hoofddorp","2131BD","NL","2015-01-01","Koppelco Coöperatie U.A.","64720934","+31855364404","0602955561"
"Ambachtsweg 7 A","Katwijk ZH","2222AH","NL","1922-01-01","Uitgeverij Verhagen B.V.","28049507","+31714022901","0521089792"
"De Kempenaerstraat 11 A","Oegstgeest","2341GE","NL","1993-01-01","De Flierefluiter","28061110","+31715157759","0528604263"
"Schoener 39","Amstelveen","1186TW","NL","2016-01-01","Laura Lisa","65504259","","0603048758"
"John M. Keynesplein 12","Amsterdam","1066EP","NL","2016-01-01","Hrcommunity B.V.","66576148","","0603167910"
"Oosterom 22","Sneek","8602DG","NL","2014-01-01","Hegie Wonen B.V.","60049669","+31515851767","0602388551"
"Punter 19 33 52","Lelystad","8242DN","NL","1994-01-01","Intermont","39057732","+31320843050","0529596706"
"Izaak Enschedeweg 38 A","Haarlem","2031CR","NL","2022-01-01","Visual Productions B.V.","54497795","+31235512030","0601535689"
"Allegondahoeve 86","Hoofddorp","2131NC","NL","1997-01-01","Peter Zwetsloot Communicatie","34099511","+31235553706","0498091266"
"1515 Heritage DR Ste 110","Mckinney","75069","US","2004-01-01","I3 Solutions Inc","","+1972-369-8100","0258413631"
"Havenhoofd               2","Willemstad NB","4797SR","NL","2011-01-01","Vista Willemstad V.O.F.","52869776","+31168852212","0601318667"
"3400 Keplinger RD","Maysville","26833","US","2013-01-01","Selective Llc","","+1304-749-8800","0160605035"
"Oude Goorenweg 12","Lierop","5715PH","NL","2018-01-01","Melkveehouderij Renders B.V.","72666943","+31492549367","0603890916"
"Nijverheidsweg-Noord 40","Amersfoort","3812PM","NL","2013-01-01","Ontwikkelcentrum Het Plein B.V.","58183035","","0602167123"
"Forellenweg 4 K","Raamsdonksveer","4941SJ","NL","2006-01-01","HP Products B.V.","18085864","+31162677578","0520546220"
"Gasthuisvest 7 A","Haarlem","2011ET","NL","2019-01-01","Beter-Label","76477487","","0604351996"
"Grasweide 4","Kerkrade","6467AZ","NL","2014-01-01","GT Bouw Service","60637749","+31455454799","0602464469"
"Westwal 40","'s-Hertogenbosch","5211DC","NL","2008-01-01","Met Punch","17216669","","0600122672"
